19830101
35.05,21.52
33.30,20.55
32.00,18.05
31.33,16.56
32.01,17.46
31.49,17.47
30.40,17.02
31.38,17.13
30.90,17.03
28.37,14.74
25.16,15.07
25.30,14.10
27.52,12.42
30.34,14.46
30.98,16.19
31.85,16.75
--,--
32.07,17.10
29.97,17.53
30.17,17.80
29.82,15.97
31.05,15.86
33.95,17.34
34.78,19.19
34.38,19.30
34.39,19.59
32.35,19.89
31.84,18.67
32.33,17.51
31.93,16.34
32.51,17.59
30.43,17.25
25.39,14.65
26.99,13.90
27.62,15.05
28.29,14.63
29.03,14.73
30.55,14.62
30.27,15.40
30.96,15.33
31.95,17.18
29.78,17.02
32.21,16.40
31.27,19.58
30.20,17.36
28.94,15.06
30.75,17.13
33.12,17.81
32.22,15.18
34.51,18.43
35.91,21.20
35.46,21.81
37.09,20.84
38.77,18.83
33.60,20.63
29.64,16.98
32.98,17.54
37.34,19.47
37.89,21.88
38.33,21.45
37.56,23.56
36.23,21.95
37.24,22.00
36.07,22.70
35.39,22.67
35.27,22.08
36.10,22.17
37.09,24.48
36.71,23.15
35.05,21.65
34.18,20.96
35.02,21.39
35.74,22.17
35.56,21.52
33.17,19.77
33.05,17.70
34.45,20.13
35.92,17.28
37.60,21.04
37.89,21.53
38.93,23.82
38.39,24.84
39.98,25.68
40.43,24.11
41.01,23.46
42.40,25.87
43.87,26.82
39.92,25.50
36.57,23.49
35.42,20.42
37.96,21.36
39.58,22.34
42.01,21.38
42.50,24.94
42.77,26.67
41.58,28.50
42.05,24.45
39.91,26.43
39.69,25.08
39.91,22.33
42.10,24.44
43.74,24.54
39.26,26.68
35.77,22.99
36.39,23.36
36.57,23.25
35.79,23.64
35.35,22.27
36.64,20.70
37.86,22.68
39.13,23.21
38.18,24.03
39.00,22.02
41.07,21.44
40.80,23.69
41.35,24.85
41.38,25.33
39.46,25.51
38.19,22.52
38.02,22.96
39.12,22.22
39.17,22.28
40.65,24.09
42.28,26.35
42.35,28.00
42.06,25.92
41.28,24.77
43.14,25.78
43.60,26.33
44.25,29.06
44.16,29.76
42.95,29.17
42.24,27.07
42.24,27.03
42.43,27.58
43.69,27.21
44.36,27.72
43.55,29.12
45.61,29.60
44.03,31.21
44.02,31.42
45.74,30.07
43.08,28.19
42.14,26.56
43.31,26.45
42.90,28.49
42.21,27.19
40.83,26.70
41.80,24.56
43.34,25.27
43.83,24.89
44.33,26.29
44.78,30.49
46.08,29.40
44.56,28.02
42.04,29.05
38.68,28.44
36.66,27.83
36.54,26.99
41.71,28.70
44.20,29.13
42.97,27.73
42.55,29.11
40.12,28.99
40.54,28.04
41.90,28.51
40.86,29.54
45.41,27.25
42.49,27.64
43.51,29.43
42.76,24.51
43.01,25.94
42.12,29.01
41.72,26.89
42.18,25.26
42.79,26.60
42.83,26.86
42.74,27.73
43.38,26.47
43.98,27.20
43.65,27.21
41.44,30.34
43.46,29.61
41.04,25.32
40.49,26.14
40.41,25.76
41.05,28.10
40.96,26.93
42.27,27.38
40.18,26.24
39.12,25.77
39.97,24.67
39.69,26.82
40.08,24.58
40.37,26.11
41.27,27.81
41.03,28.31
38.75,28.68
36.65,28.78
40.65,27.99
39.68,28.70
36.43,27.36
34.74,26.69
33.96,26.86
36.23,26.49
38.68,27.14
41.14,26.06
39.60,23.34
38.37,26.08
41.81,26.04
41.80,24.39
41.90,27.98
40.94,26.39
42.61,26.70
42.06,27.48
43.08,26.49
40.30,29.19
40.52,28.14
40.86,28.99
40.53,28.27
37.31,27.65
40.71,26.35
41.15,28.37
43.06,28.71
43.45,29.11
43.95,28.76
42.43,29.98
42.93,30.27
43.85,30.09
43.32,29.18
41.69,26.81
39.80,27.47
39.19,28.72
37.87,28.18
37.71,26.79
39.44,27.60
38.11,27.17
40.22,27.35
39.24,27.00
42.72,26.84
41.68,27.01
41.18,26.40
40.56,27.09
37.00,28.94
39.28,28.28
40.51,28.40
42.24,28.77
43.76,28.10
40.82,29.30
40.05,27.83
39.76,28.77
40.96,28.23
42.44,28.51
43.68,28.09
41.87,27.46
41.73,28.02
41.98,28.34
41.94,25.41
42.09,25.53
41.62,26.09
41.44,27.60
41.60,28.59
41.40,28.09
41.33,29.55
40.66,28.56
40.24,25.23
39.38,24.45
39.73,24.24
40.69,26.34
40.05,27.31
38.66,29.51
40.89,26.35
43.15,25.59
41.77,28.16
41.64,27.02
41.67,29.66
41.26,28.89
38.27,29.24
39.63,27.26
38.03,26.74
38.99,25.46
39.67,26.44
39.85,28.09
40.05,27.06
36.77,26.16
38.87,26.85
41.01,27.74
42.58,27.21
42.23,26.30
42.77,27.16
40.33,27.46
40.23,28.67
38.75,27.37
37.31,26.41
42.43,27.36
42.02,27.45
41.34,28.59
40.66,28.31
42.15,29.46
43.33,27.55
43.59,25.22
41.60,25.86
42.02,22.85
38.97,26.08
41.10,28.35
42.75,29.60
43.25,27.05
42.31,25.97
41.53,27.06
41.42,28.41
40.36,27.89
41.19,27.16
41.58,29.94
41.42,27.41
40.57,25.31
40.47,27.70
40.70,27.82
40.54,28.10
39.95,27.24
39.64,25.86
40.50,25.99
40.39,26.45
37.83,24.77
37.07,23.23
39.04,22.87
40.63,25.27
41.69,27.50
40.74,27.60
39.00,26.86
36.76,24.44
34.18,20.57
33.30,17.59
33.77,18.74
35.38,20.57
35.43,22.00
34.73,19.47
35.07,18.30
35.97,20.23
35.77,21.02
35.58,21.57
34.59,21.35
35.30,21.52
35.48,22.13
35.81,20.27
35.55,21.41
32.09,20.36
29.72,17.04
28.19,14.77
29.86,14.89
31.41,15.33
33.24,16.80
34.68,19.45
34.69,20.51
33.93,20.72
32.78,18.53
32.53,18.97
